code,name,count
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1976
BOS,"Boston, MA: Logan International",2019
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",1824
CLT,"Charlotte, NC: Charlotte Douglas International",1752
DCA,"Washington, DC: Ronald Reagan Washington National",2017
DEN,"Denver, CO: Denver International",2063
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2026
DTW,"Detroit, MI: Detroit Metro Wayne County",2050
EWR,"Newark, NJ: Newark Liberty International",1860
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1648
IAD,"Washington, DC: Washington Dulles International",1840
IAH,"Houston, TX: George Bush Intercontinental/Houston",1739
JFK,"New York, NY: John F. Kennedy International",1485
LAS,"Las Vegas, NV: McCarran International",2128
LAX,"Los Angeles, CA: Los Angeles International",2141
LGA,"New York, NY: LaGuardia",1987
MCO,"Orlando, FL: Orlando International",1912
MDW,"Chicago, IL: Chicago Midway International",1093
MIA,"Miami, FL: Miami International",1485
MSP,"Minneapolis, MN: Minneapolis-St Paul International",1935
ORD,"Chicago, IL: Chicago O'Hare International",1929
PDX,"Portland, OR: Portland International",1736
PHL,"Philadelphia, PA: Philadelphia International",1945
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2094
SAN,"San Diego, CA: San Diego International",2057
SEA,"Seattle, WA: Seattle/Tacoma International",1883
SFO,"San Francisco, CA: San Francisco International",1977
SLC,"Salt Lake City, UT: Salt Lake City International",1741
TPA,"Tampa, FL: Tampa International",1671
