code,name,count
AA,American Airlines Inc.,4296
AS,Alaska Airlines Inc.,2678
B6,JetBlue Airways,2857
CO,Continental Air Lines Inc.,2815
DH,Atlantic Coast Airlines,363
DL,Delta Air Lines Inc.,4370
EV,Atlantic Southeast Airlines,2438
FL,AirTran Airways Corporation,2801
HP,America West Airlines Inc.,806
MQ,American Eagle Airlines Inc.,2641
NW,Northwest Airlines Inc.,2288
OO,SkyWest Airlines Inc.,2621
RU,ExpressJet Airlines Inc.,802
TZ,ATA Airlines d/b/a ATA,606
UA,United Air Lines Inc.,4219
US,US Airways Inc.,3918
WN,Southwest Airlines Co.,2900
HA,Hawaiian Airlines Inc.,1073
OH,Comair Inc.,1671
F9,Frontier Airlines Inc.,2821
YV,Mesa Airlines Inc.,1682
AQ,Aloha Airlines Inc.,46
XE,ExpressJet Airlines Inc.,1394
9E,Pinnacle Airlines Inc.,920
VX,Virgin America,740
NK,Spirit Air Lines,247
